NA,NA,NA,NA,NA,NA,NA,0
DHUNINV,20200127,249.8,266.3,235.5,248.7,3918,0
DIAMONDYD,20200127,821,838,821,833.65,2278,0
DICIND,20200127,331,352,331,348.4,2661,0
DIGISPICE,20200127,5.1,5.35,4.9,5.3,40111,0
DISHTV,20200127,14.1,14.35,13.65,13.8,23004283,0
DIVISLAB,20200127,1910,1935,1893.7,1918.35,434503,0
DIXON,20200127,4220,4393.5,4211,4319.3,89818,0
DLF,20200127,261.5,264,255.8,257.1,5577299,0
DLINKINDIA,20200127,122.5,123.7,118.5,120.05,181863,0
DMART,20200127,1945.5,1961.5,1928.1,1951.5,306182,0
DNAMEDIA,20200127,0.4,0.5,0.4,0.4,428,0
DOLAT,20200127,58.45,60.4,56.55,57.75,214334,0
DOLLAR,20200127,155.9,158.7,149.3,153,38269,0
DONEAR,20200127,31.35,31.55,30.75,31,33793,0
DPSCLTD,20200127,8.2,8.35,8,8.05,8205,0
DPWIRES,20200127,94,94,79.7,90.9,5925,0
DQE,20200127,1.25,1.25,1.25,1.25,13008,0
DREDGECORP,20200127,337,344.75,336.45,337.75,133805,0
DRREDDY,20200127,3029,3209,2997.5,3188.75,4139808,0
DSSL,20200127,27.8,27.8,25.45,25.8,19439,0
DTIL,20200127,187.5,187.5,182.3,183.05,2344,0
DUCON,20200127,5,5.1,4.8,4.85,32320,0
DVL,20200127,73.35,73.35,69.95,71.25,4357,0
DWARKESH,20200127,38.55,39.25,37.55,37.95,994356,0
DYNAMATECH,20200127,1008,1019.9,997.75,1013.4,718,0
DYNPRO,20200127,150.1,160.7,150.1,157.3,15081,0
EASTSILK,20200127,1.05,1.1,1,1,11090,0
EBBETF0423,20200127,1004.9,1006.24,1004.9,1005.51,4659,0
EBBETF0430,20200127,1005.75,1006.9,1005,1006.29,5975,0
ECLERX,20200127,670,686.95,668.3,680.8,43283,0
EDELWEISS,20200127,92.3,101.5,92.3,101.3,6232147,0
EICHERMOT,20200127,20850,21160.8,20775,21095.2,97108,0
EIDPARRY,20200127,229,231,225.55,227.75,126548,0
EIHAHOTELS,20200127,306,310,302.35,307.45,5699,0
EIHOTEL,20200127,147.95,153,147.7,148.75,357808,0
EIMCOELECO,20200127,338.05,342.05,338.05,341.4,32,0
EKC,20200127,29.9,30,28.7,29.05,76495,0
